tweet	party
Thank you Sara. Keep writing, great talent! …	1
Thank you! …	1
The @CDCgov has published guidelines on   to enable every American to respond to this epidemic and to protect themselves, their families and their communities.	1
Just had a nice conversation with Prime Minister @JustinTrudeau of Canada. Great to hear that his wonderful wife Sophie is doing very well. The United States and Canada will continue to coordinate closely together on COVID-19.	1
 …	1
COVID-19 UPDATE …	1
THE UNITED STATES LOVES ITALY!	1
Just finished a meeting on Covid-19 in the Situation Room, news conference coming up shortly.  …	1
News Conference at White House in 10 minutes.	1
SOCIAL DISTANCING!	1
Attending meetings on Covid-19 in the White House. Working with States and local governments, many of whom have done a great job. Full report latter!	1
BIGGEST STOCK MARKET RISE IN HISTORY YESTERDAY!	1
Larry, I am not surprised that Candace was great. I would only be surprised if she wasn’t great! …	1
"Introducing keynote speaker Candace Owens for the Jewish Republican Alliance, Woodland Hills, California.

#BLEXIT
#JEXIT"	1
"“Andrew Gillum apologizes after being found 'inebriated' in hotel room where police say man was treated for 'possible drug overdose'”

Gillum’s dilemma: How to blame Trump, and how to play the race card. But he’s up for the challenge.

 …
#AndrewGillum"	1
"LMAO. Bags of a crystal meth, nudity, and puking... to help a friend after a wedding while you were too inebriated to talk, @AndrewGillum ?
You CANNOT make this stuff up. 

Literally no person believes it but left wing journalists are going to pretend they do to try to help you. …"	1
"Good news on the coronavirus you won’t find anywhere else:

-China has closed down its last coronavirus hospital. Not enough new cases to support them.
-Italy is hit hard, experts say, because they have the oldest population in Europe (average age of those that have died is 81)."	1
"LET’S GO AMERICA! 
After 2 years of fighting and challenging the status quo— I finally wrote it. 
The book Democrats don’t want Minorities to read. 
BLACKOUT: How Black America Can Make Its Second Escape From The Democrat Plantation. Available for pre-order on Amazon today!"	1
"Here is the last page of the report which sites the crystal meth. 

Guess Florida made the right move electing Governor Desantis

I am told @AndrewGillum and his buddies were naked when cops arrived, which is the reason a sex orgy is suspected, but not confirmed."	1
Good teamwork between Republicans & Democrats as the House passes the big CoronaVirus Relief Bill. People really pulled together. Nice to see!	1
".@realDonaldTrump's emergency declaration allows for a ""massive mobilization of our country's resources to combat this terrible virus. And the flexibilities we're offering will be a godsend to the providers, clinicians, and facilities on the front lines of this fight.""– @SeemaCMS"	1
POTUS was right to restrict travel from China in January, and now there is more evidence that @realDonaldTrump made the right call restricting travel from Europe, too. …	1
The @realDonaldTrump administration’s coronavirus response has delivered “innovative solutions…at unprecedented speed.” – Ambassador Deborah Birx	1
"""The spirit and the will of our nation is unbreakable. We will defeat this threat. When America is tested, America rises to the occasion."""	1
Today's emergency orders will allow the @HHSgov Secretary to waive applicable rules and regulations to give doctors, hospitals, and healthcare providers maximum flexibility to respond to the virus and care for patients.	1
....No matter where you may be, I encourage you to turn towards prayer in an act of faith. Together, we will easily PREVAIL!	1
It is my great honor to declare Sunday, March 15th as a National Day of Prayer. We are a Country that, throughout our history, has looked to God for protection and strength in times like these....	1
At my request, effective midnight tonight, Carnival, Royal Caribbean, Norwegian, and MSC have all agreed to suspend outbound cruises for thirty days. It is a great and important industry – it will be kept that way!	1
We will remove or eliminate every obstacle necessary to deliver our people the care they need. No resource will be spared!	1
To unleash the full power of the Federal Government in this effort, today I am officially declaring a National Emergency.	1
LIVE: President @realDonaldTrump holds a news conference …	1
I will be having a news conference today at 3:00 P.M., The White House. Topic: CoronaVirus!	1
To this point, and because we have had a very strong border policy, we have had 40 deaths related to CoronaVirus. If we had weak or open borders, that number would be many times higher!	1
The Federal Reserve must FINALLY lower the Fed Rate to something comparable to their competitor Central Banks. Jay Powell and group are putting us at a decided economic & physiological disadvantage. Should never have been this way. Also, STIMULATE!	1
If you want to get money into the hands of people quickly & efficiently, let them have the full money that they earned, APPROVE A PAYROLL TAX CUT until the end of the year, December 31. Then you are doing something that is really meaningful. Only that will make a big difference!	1
Joe Biden has no ground to stand on politicizing coronavirus or attacking @realDonaldTrump. …	1
.... Their response to H1N1 Swine Flu was a full scale disaster, with thousands dying, and nothing meaningful done to fix the testing problem, until now. The changes have been made and testing will soon happen on a very large scale basis. All Red Tape has been cut, ready to go!	1
For decades the @CDCgov looked at, and studied,  its testing system, but did nothing about it. It would always be inadequate and slow for a large scale pandemic, but a pandemic would never happen, they hoped. President Obama made changes that only complicated things further.....	1
Outrageous. @SenatorFischer’s bill will save lives. …	1
Today the Senate could have passed my bill w/ @SenatorSinema to address the shortage of respirators during this #COVID19 outbreak. As a result of the objection from @SenateDems, the health and safety of our health care providers and first responders is at risk.	1
“The Obama White House had to immediately issue an apology for Joe Biden’s remarks, and any alarm that he might have caused, an alarm about a Swine Flu outbreak that took 6 months for President Obama to declare a National Emergency, and that killed 12,000 Americans.” @LouDobbs	1
Sleepy Joe Biden was in charge of the H1N1 Swine Flu epidemic which killed thousands of people. The response was one of the worst on record. Our response is one of the best, with fast action of border closings & a 78% Approval Rating, the highest on record. His was lowest!	1
Just had a great conversation with Prime Minister Abe of Japan. I told him that the just completed Olympic venue is magnificent. He has done an incredible job, one that will make him very proud. Good things will happen for Japan and their great Prime Minister. Lots of options!	1
All schools, colleges and childcare facilities to close from tomorrow says Taoiseach @LeoVaradkar in an address to the nation (from Washington DC). #Covid_19 #coronavirus …	1
Viking Cruises cancels all cruises until May 1 due to coronavirus pandemic …	1
We have always been dedicated to one truth: the health, safety, & well-being of our guests, teammates, & communities we visit. #PrincessCruises President Jan Swartz shares an update on how our company is upholding this core value during this unprecedented time.	1
This German biotech company has made kits with 4 million coronavirus tests since the outbreak began 	1
"We're ALL in this together.

And we can ALL do our part to help stop the spread of coronavirus.

 Here's how "	1
108 countries are dealing with the CoronaVirus problem, some of which we are helping!	1
KEEPING THE WORKPLACE SAFE, ENCOURAGE YOUR EMPLOYEES TO....	1
KEEPING COMMERCIAL ESTABLISHMENTS SAFE, ENCOURAGE YOUR EMPLOYEES AND CUSTOMERS TO....	1
KEEPING THE SCHOOL SAFE, ENCOURAGE YOUR FACULTY, STAFF, AND STUDENTS TO....	1
KEEPING THE HOME SAFE, ENCOURAGE YOUR FAMILY MEMBERS TO....	1
Many Republican Senators want me to Veto the FISA Bill until we find out what led to, and happened with, the illegal attempted “coup” of the duly elected President of the United States, and others!	1
“Nancy Pelosi all of a sudden doesn’t like the payroll tax cut, but when Obama proposed it she thought it was a brilliant thing that all of the working families would benefit from because if you get a paycheck, you’re going to take home more money.” @kilmeade @foxandfriends	1
"The NBA has suspended the season ""until further notice” after a Utah Jazz player preliminarily tested positive for coronavirus. …"	1
Develop a plan for home-based actions. Choose a room in your home that can be used to separate sick household members from those who are healthy. Protect yourself and others. Get more information about creating a household plan of action:   #COVID19	1
Everyone can help prevent the spread of #COVID19. Call your doctor if you develop symptoms, have been in close contact with a person known to have COVID-19, or have recently traveled from an area with widespread or ongoing community spread of COVID-19.  .	1
Clean hands keep you healthy and can stop germs from spreading to others. What you need to know about handwashing:  	1
#CDCTRAVELNOTICE: #Coronavirus in most of #Europe. CDC recommends avoiding all nonessential travel to most of Europe. More information:  	1
.@CMSGov has taken additional actions to ensure #Medicare-participating hospital emergency departments continue to implement infection control procedures required under federal regulation, & reinforcing obligations to care for patients in face of #COVID19.  …	1
.@CMSGov has issued additional guidance about telehealth benefits in #Medicare to ensure beneficiaries are aware of accessible benefits that can both keep them healthy & help prevent the spread of #COVID19.  …	1
.@CMSGov has expanded its guidance to nursing homes on how facilities should monitor, limit or restrict visitors & staff w/ potential illness, & transferring or accepting patients who have tested positive for or are suspected to have #COVID19.  …	1
LIVE: Members of the Coronavirus Task Force Hold a Press Briefing …	1
THANK YOU, Jim, for your incredible support of our #MAGA Agenda! You are a tremendous Senator for the people of the Great State of Oklahoma and you have my Complete and Total Endorsement! …	1
Congressman @StevenPalazzo is doing a fantastic job for the people of Mississippi. He strongly supports our #MAGA Agenda. Steven will continue to protect your #2A, & Support our INCREDIBLE Vets & Military. Steven has my Complete Endorsement. VOTE for Steven tomorrow, March 10th!	1
Congressman Michael Guest (@GuestCongress) is an incredible fighter for the Great State of Mississippi. Michael is strong on Crime and the Border, he loves our Military and Vets. Michael has my Complete and Total Endorsement! Get out and Vote for Michael tomorrow, March 10th!	1
So last year 37,000 Americans died from the common Flu. It averages between 27,000 and 70,000 per year. Nothing is shut down, life & the economy go on. At this moment there are 546 confirmed cases of CoronaVirus, with 22 deaths. Think about that!	1
Saudi Arabia and Russia are arguing over the price and flow of oil. That, and the Fake News, is the reason for the market drop!	1
Good for the consumer, gasoline prices coming down!	1
So much FAKE NEWS!	1
The BEST decision made was the toughest of them all - which saved many lives. Our VERY early decision to stop travel to and from certain parts of the world!	1
Great job being done by the @VP and the CoronaVirus Task Force. Thank you!	1
The Obama/Biden Administration is the most corrupt Administration in the history of our Country!	1
